,,,,,,,,
,id,accountId,createdAt,updatedAt,expenses,grossProfit,grossRevenue,netProfit
,01JHHCYE2GFHFF49FJP6733R6S,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-14 03:15:35.121,2025-01-14 03:15:35.121,436178,-17399,74412,-453577
,01JHKZART50G7BQBZH39PN4XZE,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-15 03:15:22.566,2025-01-15 03:15:22.566,436178,-17399,74412,-453577
,01JHKZAZWHPCEYX306WWYAXAR3,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-15 03:15:29.81,2025-01-15 03:15:29.81,436178,-17399,74412,-453577
,01JHKZB10VS04G42JV53F0T916,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-15 03:15:30.972,2025-01-15 03:15:30.972,436178,-17399,74412,-453577
,01JHKZB23MPH1TAH0ZB6VZWEEX,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-15 03:15:32.086,2025-01-15 03:15:32.086,436178,-17399,74412,-453577
,01JHKZB36RXDPZP5FW6M4ZWV7G,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-15 03:15:33.209,2025-01-15 03:15:33.209,436178,-17399,74412,-453577
,01JHKZB49YMCHXG749YRCS0GM8,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-15 03:15:34.335,2025-01-15 03:15:34.335,436178,-17399,74412,-453577
,01JHKZB5CAEQ21E4Q66ZEZXBZE,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-15 03:15:35.435,2025-01-15 03:15:35.435,436178,-17399,74412,-453577
,01JHKZB6ED3MFCNGNHX3MBB3RD,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-15 03:15:36.526,2025-01-15 03:15:36.526,436178,-17399,74412,-453577
,01JHKZB7H6FRD8GGPGG3SB9EAC,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-15 03:15:37.639,2025-01-15 03:15:37.639,436178,-17399,74412,-453577
,01JHPHQ5EDMWF1T522X80WQNVZ,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-16 03:15:11.951,2025-01-16 03:15:11.951,436178,-17399,74412,-453577
,01JHPHQ6KG2PRBNG394W3G5PCY,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-16 03:15:13.137,2025-01-16 03:15:13.137,436178,-17399,74412,-453577
,01JHPHQ7S92HAERWE55A1V02SP,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-16 03:15:14.346,2025-01-16 03:15:14.346,436178,-17399,74412,-453577
,01JHPHQ8XX7RTJRF2Q2X3SQC9B,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-16 03:15:15.518,2025-01-16 03:15:15.518,436178,-17399,74412,-453577
,01JHPHQA0T4GGJD0CRTDVYYBYE,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-16 03:15:16.635,2025-01-16 03:15:16.635,436178,-17399,74412,-453577
,01JHS43MAXPX6J245XZJFDM3KA,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-17 03:15:03.647,2025-01-17 03:15:03.647,1336178,-17399,74412,-1353577
,01JHS43NHW88NB27NQZ581QFBG,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-17 03:15:04.893,2025-01-17 03:15:04.893,1336178,-17399,74412,-1353577
,01JHS43PPF6MV28H69K2X7CTTJ,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-17 03:15:06.065,2025-01-17 03:15:06.065,1336178,-17399,74412,-1353577
,01JHS43QS4Q3FX23JZRWN36WCC,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-17 03:15:07.173,2025-01-17 03:15:07.173,1336178,-17399,74412,-1353577
,01JHS43RVCVPYFTM0KSRE1QDVP,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-17 03:15:08.269,2025-01-17 03:15:08.269,1336178,-17399,74412,-1353577
,01JJB4X78597QQX16SN2XXRAHW,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-24 03:15:21.99,2025-01-24 03:15:21.99,1895408,-17399,74412,-1912807
,01JJB4X8DSEVKRX9DP3G4D2PTX,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-24 03:15:23.194,2025-01-24 03:15:23.194,1895408,-17399,74412,-1912807
,01JJB4X9PHZN8BMDRR2HBSNTAA,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-24 03:15:24.499,2025-01-24 03:15:24.499,1895408,-17399,74412,-1912807
,01JJB4XASHMS3R048ZCP3ENE6G,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-24 03:15:25.618,2025-01-24 03:15:25.618,1895408,-17399,74412,-1912807
,01JJB4XBX7646V192BABF728VE,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-24 03:15:26.76,2025-01-24 03:15:26.76,1895408,-17399,74412,-1912807
,01JJB4XD2AEB5A4BAYG62RWNJV,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-24 03:15:27.947,2025-01-24 03:15:27.947,1895408,-17399,74412,-1912807
,01JJB4XEH9HW8G5ETH5TRXG4HY,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-24 03:15:29.45,2025-01-24 03:15:29.45,1895408,-17399,74412,-1912807
,01JJB4XFV3V0ZC28ZWGP3GYY01,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-24 03:15:30.788,2025-01-24 03:15:30.788,1895408,-17399,74412,-1912807
,01JJB4XGZ68ESQH80N8RRA5KM3,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-24 03:15:31.943,2025-01-24 03:15:31.943,1895408,-17399,74412,-1912807
,01JJB4XJ23FZCYJZCZMPY09BDC,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-24 03:15:33.06,2025-01-24 03:15:33.06,1895408,-17399,74412,-1912807
,01JJDQ9CPH69H3D1KTK25P43D2,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-25 03:15:04.019,2025-01-25 03:15:04.019,1895408,-17399,74412,-1912807
,01JJNEG95VSN104V54XS1DM36C,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-28 03:15:28.06,2025-01-28 03:15:28.06,1895408,-17399,74412,-1912807
,01JJNEGAAQKDPWF657SBSM6RVE,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-28 03:15:29.24,2025-01-28 03:15:29.24,1895408,-17399,74412,-1912807
,01JJNEGBEWQYJ2WC62K4BW93V2,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-28 03:15:30.397,2025-01-28 03:15:30.397,1895408,-17399,74412,-1912807
,01JJNEGCJXCAGPC3AN8NBFHXNG,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-28 03:15:31.55,2025-01-28 03:15:31.55,1895408,-17399,74412,-1912807
,01JJNEGDN83N4CDPCYRTRGPB94,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-28 03:15:32.649,2025-01-28 03:15:32.649,1895408,-17399,74412,-1912807
,01JJNEGER98VXKS1VED2K554HX,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-28 03:15:33.77,2025-01-28 03:15:33.77,1895408,-17399,74412,-1912807
,01JJNEGFV0YXQEWZYVA8JH275X,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-28 03:15:34.882,2025-01-28 03:15:34.882,1895408,-17399,74412,-1912807
,01JJNEGGZ434JBMQH0V911M6PZ,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-28 03:15:36.037,2025-01-28 03:15:36.037,1895408,-17399,74412,-1912807
,01JJNEGJ3N7BB6HF1K4DDE6GX4,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-28 03:15:37.207,2025-01-28 03:15:37.207,1895408,-17399,74412,-1912807
,01JJR0WGT2VWRN6VGJWAXRFYMV,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-29 03:15:12.324,2025-01-29 03:15:12.324,1895408,-17399,74412,-1912807
,01JJR0WJ0FR0TSXVM3QSDF4VFX,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-29 03:15:13.552,2025-01-29 03:15:13.552,1895408,-17399,74412,-1912807
,01JJR0WK6FEBBJ5CAN7970CFJ9,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-29 03:15:14.769,2025-01-29 03:15:14.769,1895408,-17399,74412,-1912807
,01JJR0WM9QK644AZZ23ET77JGK,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-29 03:15:15.896,2025-01-29 03:15:15.896,1895408,-17399,74412,-1912807
,01JJR0WNDHPHB17K8F1YB67PEQ,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-29 03:15:17.042,2025-01-29 03:15:17.042,1895408,-17399,74412,-1912807
,01JJTK8ZMACD4XQV6GE0B1AQD7,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-30 03:15:03.947,2025-01-30 03:15:03.947,1895408,-17399,74412,-1912807
,01JJTK90VBYQH9AV2MN6C0WG1N,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-30 03:15:05.196,2025-01-30 03:15:05.196,1895408,-17399,74412,-1912807
,01JJTK920KWB5VZBKW005P6DA3,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-30 03:15:06.389,2025-01-30 03:15:06.389,1895408,-17399,74412,-1912807
,01JJTK935YRX8FJNJ8S7A3C8HP,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-30 03:15:07.583,2025-01-30 03:15:07.583,1895408,-17399,74412,-1912807
,01JJTK948XSQYPRR4GDDZH8K85,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-30 03:15:08.702,2025-01-30 03:15:08.702,1895408,-17399,74412,-1912807
,01JJX5NPZ5QZ197TW8070CFTYK,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-31 03:15:04.294,2025-01-31 03:15:04.294,1895408,-17399,74412,-1912807
,01JJX5NR3GT6S7TZAGS0NDX0AD,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-31 03:15:05.457,2025-01-31 03:15:05.457,1895408,-17399,74412,-1912807
,01JJX5NS76S03PBN3R4DFJ0ZPG,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-31 03:15:06.599,2025-01-31 03:15:06.599,1895408,-17399,74412,-1912807
,01JJX5NTCNK1WCYP9H9RJ2ZZYK,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-31 03:15:07.799,2025-01-31 03:15:07.799,1895408,-17399,74412,-1912807
,01JJX5NVH0WXKP9YXV7S5QV2ZY,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-31 03:15:08.961,2025-01-31 03:15:08.961,1895408,-17399,74412,-1912807
,01JJZR2DN1N0W13XBV86BTPW76,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-01 03:15:03.971,2025-02-01 03:15:03.971,1895408,-17399,74412,-1912807
,01JJZR2ES6KYZT1DEV4Q2A6G5A,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-01 03:15:05.127,2025-02-01 03:15:05.127,1895408,-17399,74412,-1912807
,01JJZR2FWQPCMD7TRNSPH933HN,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-01 03:15:06.264,2025-02-01 03:15:06.264,1895408,-17399,74412,-1912807
,01JJZR2H1T96VYYD5YE87XJAKE,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-01 03:15:07.451,2025-02-01 03:15:07.451,1895408,-17399,74412,-1912807
,01JJZR2J5WEHR9H13RGK7QZGH9,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-01 03:15:08.605,2025-02-01 03:15:08.605,1895408,-17399,74412,-1912807
,01JK2AF4XM6KVH5XHMRP833CM7,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-02 03:15:04.245,2025-02-02 03:15:04.245,34339,0,0,-34339
,01JK2AF62S2A4NDABXHK43K79A,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-02 03:15:05.435,2025-02-02 03:15:05.435,34339,0,0,-34339
,01JK2AF77Y72M8M0MF7RK7STDT,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-02 03:15:06.623,2025-02-02 03:15:06.623,34339,0,0,-34339
,01JK2AF8C1FDYMKYWWXC62EXQ7,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-02 03:15:07.778,2025-02-02 03:15:07.778,34339,0,0,-34339
,01JK2AF9F9NDZH8GKXKFWT33C9,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-02 03:15:08.907,2025-02-02 03:15:08.907,34339,0,0,-34339
,01JK4WVVC393XDHT1S7YKTEAAT,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-03 03:15:03.688,2025-02-03 03:15:03.688,116731,0,0,-116731
,01JK4WVWJCND1CGCDRMWP9308D,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-03 03:15:04.909,2025-02-03 03:15:04.909,116731,0,0,-116731
,01JK4WVXQ92DSYSEVXMB4RCWAM,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-03 03:15:06.09,2025-02-03 03:15:06.09,116731,0,0,-116731
,01JK4WVYWZECF17SJN5JTD49WT,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-03 03:15:07.296,2025-02-03 03:15:07.296,116731,0,0,-116731
,01JK4WW02ADFMZ0V0388V84Q64,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-03 03:15:08.492,2025-02-03 03:15:08.492,116731,0,0,-116731
,01JK7F9AEN7P16MG823YQ778V8,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-04 03:15:28.344,2025-02-04 03:15:28.344,116731,0,0,-116731
,01JK7F9BME6TAS6VH1XAKYK665,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-04 03:15:29.551,2025-02-04 03:15:29.551,116731,0,0,-116731
,01JK7F9CT23XHVYFTD41RAEQZR,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-04 03:15:30.755,2025-02-04 03:15:30.755,116731,0,0,-116731
,01JK7F9DWVY1KRVXXARHMMJ7KK,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-04 03:15:31.868,2025-02-04 03:15:31.868,116731,0,0,-116731
,01JK7F9F7BAVV8DE1QQ9WVWD55,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-04 03:15:33.229,2025-02-04 03:15:33.229,116731,0,0,-116731
,01JK7F9GP5TQVYSSN3TSCPZTB7,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-04 03:15:34.726,2025-02-04 03:15:34.726,116731,0,0,-116731
,01JK7F9J28EVSCP5FBATEE0607,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-04 03:15:36.137,2025-02-04 03:15:36.137,116731,0,0,-116731
,01JK7F9K63AJ5VFDRGST4CJ2ET,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-04 03:15:37.284,2025-02-04 03:15:37.284,116731,0,0,-116731
,01JK7F9M953M97C9JP677N5Z12,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-04 03:15:38.406,2025-02-04 03:15:38.406,116731,0,0,-116731
,01JK7F9NDWWEJEPB0CFCTX2BFA,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-04 03:15:39.581,2025-02-04 03:15:39.581,116731,0,0,-116731
,01JKA1NVP8J3M4HPDWAR8R7CZ3,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:22.442,2025-02-05 03:15:22.442,116731,0,0,-116731
,01JKA1NWYSWXBDCQA7Y4YRNRQ1,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:23.738,2025-02-05 03:15:23.738,116731,0,0,-116731
,01JKA1NY8N4DHG4J933938JP8R,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:25.078,2025-02-05 03:15:25.078,116731,0,0,-116731
,01JKA1NZEZ026RS4YP33ZTQ820,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:26.304,2025-02-05 03:15:26.304,116731,0,0,-116731
,01JKA1P0X1D6B205G9D5C4FZ2H,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:27.778,2025-02-05 03:15:27.778,116731,0,0,-116731
,01JKA1P29NW50EWSRSWM1GEYZZ,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:29.206,2025-02-05 03:15:29.206,116731,0,0,-116731
,01JKA1P3G0D29A3B99DFRH9PX0,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:30.433,2025-02-05 03:15:30.433,116731,0,0,-116731
,01JKA1P4PGV6903WZFAVHY977J,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:31.665,2025-02-05 03:15:31.665,116731,0,0,-116731
,01JKA1P5XP80WNYRGVSD4FCHGY,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:32.919,2025-02-05 03:15:32.919,116731,0,0,-116731
,01JKA1P7430G3TMYEVE4QJB1D1,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:34.148,2025-02-05 03:15:34.148,116731,0,0,-116731
,01JKA1P8ADZZ2GRHJ8GMTZH906,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:35.374,2025-02-05 03:15:35.374,116731,0,0,-116731
,01JKA1P9KX5KM4GCFN74D0MGEW,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-05 03:15:36.702,2025-02-05 03:15:36.702,116731,0,0,-116731
,01JKCM2MJ2RKD0JPJK8DTC9STB,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:24.356,2025-02-06 03:15:24.356,116731,0,0,-116731
,01JKCM2NPSNJS0XN4AVVM8QFQ0,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:25.53,2025-02-06 03:15:25.53,116731,0,0,-116731
,01JKCM2PWD9V2RV7WHRXXS87CC,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:26.734,2025-02-06 03:15:26.734,116731,0,0,-116731
,01JKCM2QZQMJFQWDNY6Y5HB5QB,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:27.864,2025-02-06 03:15:27.864,116731,0,0,-116731
,01JKCM2S3RD6B8QX1DZQA04TTF,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:29.017,2025-02-06 03:15:29.017,116731,0,0,-116731
,01JKCM2TDCSNPVWXG06830KKVA,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:30.349,2025-02-06 03:15:30.349,116731,0,0,-116731
,01JKCM2VMTPDPTXTCJ70A7RBEB,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:31.611,2025-02-06 03:15:31.611,116731,0,0,-116731
,01JKCM2WXS7AN38BHJCJ380DYP,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:32.922,2025-02-06 03:15:32.922,116731,0,0,-116731
,01JKCM2Y2YVQ7TEX43STJB1CFN,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:34.111,2025-02-06 03:15:34.111,116731,0,0,-116731
,01JKCM2Z6AYBEZ3C549RYX3QFH,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:35.244,2025-02-06 03:15:35.244,116731,0,0,-116731
,01JKCM30ADJN5MJHCRYGBY1CFZ,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:36.398,2025-02-06 03:15:36.398,116731,0,0,-116731
,01JKCM31DJ8AP8WCWPWZ7MTV9Q,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-06 03:15:37.523,2025-02-06 03:15:37.523,116731,0,0,-116731
,01JKF6F9AYAZNECVQR3X3TSNHR,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:22.08,2025-02-07 03:15:22.08,116731,0,0,-116731
,01JKF6FAERY7470THTCGXEFKKD,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:23.225,2025-02-07 03:15:23.225,116731,0,0,-116731
,01JKF6FBN7MBG56RD1S9ZK9RYH,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:24.456,2025-02-07 03:15:24.456,116731,0,0,-116731
,01JKF6FCS0DT4AC427R81JF75G,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:25.601,2025-02-07 03:15:25.601,116731,0,0,-116731
,01JKF6FDW8H20WHX79M3RF19WY,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:26.729,2025-02-07 03:15:26.729,116731,0,0,-116731
,01JKF6FFE0S5MP1YQYTP2Z00EH,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:28.321,2025-02-07 03:15:28.321,116731,0,0,-116731
,01JKF6FGQ89V2NM4TN7N0Q3WTK,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:29.641,2025-02-07 03:15:29.641,116731,0,0,-116731
,01JKF6FHTMNQTQ64GQHD4F6HFT,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:30.774,2025-02-07 03:15:30.774,116731,0,0,-116731
,01JKF6FJY1HKQM0FYF040B0A69,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:31.906,2025-02-07 03:15:31.906,116731,0,0,-116731
,01JKF6FM1E8VJ0NX4MAMX8DDBD,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:33.039,2025-02-07 03:15:33.039,116731,0,0,-116731
,01JKF6FN5RH065CDE1FNPGXW0T,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:34.201,2025-02-07 03:15:34.201,116731,0,0,-116731
,01JKF6FPA4XAVEFK5KDQKDMW2V,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-07 03:15:35.365,2025-02-07 03:15:35.365,116731,0,0,-116731
,01JKHRW1YPMQPZPXD23Y15VEHQ,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-08 03:15:23.735,2025-02-08 03:15:23.735,116731,0,0,-116731
,01JKHRW33GV7FK76RVA625K2T5,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-08 03:15:24.913,2025-02-08 03:15:24.913,116731,0,0,-116731
,01JKHRW4ASMF38Z8KPGVPV8YHB,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-08 03:15:26.17,2025-02-08 03:15:26.17,116731,0,0,-116731
,01JKHRW5FQQRKTA9NH1CC0S3GN,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-08 03:15:27.352,2025-02-08 03:15:27.352,116731,0,0,-116731
,01JKHRW6S5ARFW5V45JWA0YGKH,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-08 03:15:28.679,2025-02-08 03:15:28.679,116731,0,0,-116731
,01JKHRW84VZYDQVKBEYK5KDPT3,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-08 03:15:30.076,2025-02-08 03:15:30.076,116731,0,0,-116731
,01JKHRW99VQXV8WQHZ4B1ZNQKD,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-08 03:15:31.26,2025-02-08 03:15:31.26,116731,0,0,-116731
,01JKHRWAEMJ98EV26DEAJB390Y,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-02-08 03:15:32.437,2025-02-08 03:15:32.437,116731,0,0,-116731
